t,ia,ib,ic,Te,wm
0,0.0566697509954661,-0.0534854334692899,-0.140925643962835,5.56153775629059e-05,155.534251163332
0.0001,-0.0381788486389581,0.00278606764740649,0.0380611917611836,0.00764692433692812,155.539095280015
0.0002,0.579054922487287,-9.15980002003218,8.70443100421434,0.0123141349562409,155.511614630044
0.0003,1.12681090359712,-18.6102328710726,17.3380674687994,-0.00017257791390652,155.513760237232
0.0004,2.51261825729954,-28.0298073843236,25.7328335014676,-0.0398491745361394,155.534242839857
0.0005,3.86404003747332,-37.68405432322,33.8272128415175,0.0047907749832052,155.515951604919
0.0006,5.65058248917475,-47.4383188648227,41.7963866704655,-0.0541443732918661,155.494875056953
0.0007,7.76308007406835,-57.1180216650186,49.4898418672077,-0.0756779117984289,155.51132702976
0.0008,10.2013734256647,-67.0947915280089,56.9678448148591,-0.0453380551263685,155.519745078452
0.0009,12.9856999146233,-76.9923442121148,64.1583296710722,-0.0877984641251438,155.463211854884
0.001,15.8840380945143,-87.0425326418527,71.1571675913076,-0.14915143367509,155.481630479102
0.0011,19.2341268929223,-97.0735002261906,77.9071351230014,-0.256138954271293,155.489960694958
0.0012,22.9724277047491,-107.26351099804,84.436855076477,-0.379618190810266,155.489195104773
0.0013,26.8188735348191,-117.513879098605,90.6472361479523,-0.566898865404446,155.487087490474
0.0014,31.0607044636921,-127.637027628355,96.5615728890787,-0.764493570963761,155.494650998698
0.0015,35.639656673678,-137.856213713856,102.206256919975,-1.04871587846403,155.480027265821
0.0016,40.4176617004344,-148.063591487727,107.687621102333,-1.35624377095706,155.504705608464
0.0017,45.4021327613571,-158.189054583975,112.772641869681,-1.77570524407037,155.496025137188
0.0018,50.8851640235819,-168.415154836889,117.559670279629,-2.25871647657982,155.50097996269
0.0019,56.4822096774021,-178.458572313117,122.140458402713,-2.78991218618145,155.455935086656
0.002,62.3437995563908,-188.721512366157,126.38907613907,-3.48015245493543,155.484410039535
0.0021,68.512837780011,-198.876667885923,130.339871806009,-4.28642472518325,155.504881157823
0.0022,74.8631728295074,-208.798539424966,133.895979640083,-5.15480132313168,155.468405322537
0.0023,81.4217837611577,-218.815220873321,137.344288964706,-6.17315288137557,155.489135740938
0.0024,88.2910262491052,-228.658040209973,140.337289360629,-7.35725439208847,155.502146848114
0.0025,95.3402979725769,-238.452520448029,142.977263479681,-8.69178838332535,155.437557595368
0.0026,102.769142214119,-248.167304671278,145.368346063278,-10.1813972191084,155.497970764137
0.0027,110.246495791304,-257.678134031029,147.591238540358,-11.8938855170585,155.494021813838
0.0028,118.012281028835,-267.128463577817,149.238084094867,-13.7540650499811,155.464287330324
0.0029,125.866505988968,-276.50282055097,150.591058484175,-15.8213581639704,155.453562748909
0.003,134.037937230669,-285.785527648337,151.759435158972,-18.0862788067043,155.457110079296
0.0031,142.256639832138,-294.795313712455,152.559665268084,-20.6937603820206,155.444413637067
0.0032,150.715197934103,-303.872340334893,152.980781669051,-23.4161426610907,155.467022174136
0.0033,159.399903617868,-312.65026623114,153.111098172489,-26.4542945727606,155.40609214041
0.0034,168.046971282163,-321.19837899528,153.044068356434,-29.7960679369099,155.475325444937
0.0035,177.142593913281,-329.643401817597,152.554333313662,-33.3996082797678,155.456158104894
0.0036,186.108160962913,-337.769396740858,151.688468801421,-37.237399638727,155.475483406451
0.0037,195.451043006916,-345.92972071314,150.50797975788,-41.4468750945928,155.460681189089
0.0038,204.525413958738,-353.646667980871,149.0177097554,-45.9598467653907,155.460098254706
0.0039,214.05264053668,-361.241907707234,147.249767305759,-50.840932267636,155.438223925526
0.004,223.584934964757,-368.68430632528,145.181266203946,-56.0419181543383,155.434179639285
0.0041,233.10565253328,-375.916141025204,142.80876502058,-61.59161513306,155.450631314611
0.0042,242.809195698498,-382.900651354361,139.999506679854,-67.5425983338205,155.446781344067
0.0043,252.564417559969,-389.611859295257,137.038945045628,-73.9367636795657,155.412665009806
0.0044,262.259709658534,-396.024210967918,133.686252452936,-80.6515501910824,155.451899755237
0.0045,272.164626285388,-402.271512659863,130.156378138136,-87.8032359232121,155.439855704759
0.0046,282.047344806009,-408.239913700842,126.273044979588,-95.3879053627785,155.440166903259
0.0047,291.94662810882,-413.872790122665,121.909605899054,-103.362768806305,155.438005491101
0.0048,301.874988300069,-419.453649288781,117.51324446497,-111.879592410766,155.434009004324
0.0049,311.789222509406,-424.521142852115,112.683519739459,-120.745971193631,155.468753458039
0.005,321.812757108422,-429.392273818511,107.596521808321,-130.170348855706,155.430342671413
0.0051,331.7779292706,-434.064843943397,102.287150714834,-140.014284738753,155.421672626786
