t,ia,ib,ic,Te,wm
0,0.066733263402802,0.0251077045227105,0.0393201415415423,-0.0225736377541383,155.489656351289
0.0001,0.0214275605074775,0.0423118997004443,0.063244870454069,-0.0111229877119574,155.485609759871
0.0002,0.462948339207791,-9.28494049183917,8.73753787778642,0.0104062445531259,155.57179887611
0.0003,1.35236154807466,-18.5993742713031,17.3215058771808,0.0356359997008475,155.510530655359
0.0004,2.41398219642026,-28.0850015401518,25.7004897583516,0.0281664727192859,155.539865314339
0.0005,3.912480334346,-37.6545466981084,33.801233370037,-0.0400832871293489,155.493014145246
0.0006,5.70245687424259,-47.4015393130013,41.7376332249177,-0.00870597029213566,155.48303952445
0.0007,7.71665747828071,-57.2016363546364,49.4259870957726,-0.048566658579197,155.510125006592
0.0008,10.2409768751454,-67.0894934947862,56.9329823312261,-0.0616730076933238,155.545781789399
0.0009,12.8132578084979,-76.9613607839702,64.1210394309537,-0.121826444187105,155.522070695559
0.001,15.8994900713914,-87.0993174078165,71.1671461397798,-0.179941161695828,155.485680958314
0.0011,19.2723882806268,-97.1375494669297,77.8327938512551,-0.28172432031911,155.499848050153
0.0012,22.9925328769151,-107.326592365897,84.4008879356093,-0.401337496371178,155.488296369741
0.0013,26.8248042031886,-117.354859707531,90.6034485781582,-0.538897649037216,155.461032813888
0.0014,31.0713565596709,-127.694788635697,96.58269272986,-0.792889871448768,155.486787856854
0.0015,35.6740373172795,-137.783976668115,102.227977454271,-1.03968610197727,155.454235369516
0.0016,40.4300168822828,-148.059104066728,107.688145998179,-1.39879640374138,155.482478179551
0.0017,45.4880946360816,-158.254747804583,112.846045380841,-1.79101932332484,155.471783793217
0.0018,50.8373171715796,-168.433258490924,117.630253748933,-2.22023590385511,155.517846368041
0.0019,56.479454440289,-178.584601526949,122.088293796188,-2.8193189001113,155.479622979167
0.002,62.2983644036852,-188.659688906167,126.428629606537,-3.4601937960823,155.49450164716
0.0021,68.5368280609754,-198.689985430928,130.370268306229,-4.26504939598446,155.503881006241
0.0022,74.8407649167169,-208.756899752011,134.024595697091,-5.17125083601171,155.430116641269
0.0023,81.4795728535666,-218.710770593553,137.286640259015,-6.18984617567462,155.459914359278
0.0024,88.2748039920657,-228.667831783762,140.279785675617,-7.36801777491547,155.448192500039
0.0025,95.4257690724555,-238.424400678714,142.977944870482,-8.72209324158586,155.459179850744
0.0026,102.725888183283,-248.196328126634,145.333170173587,-10.211521791239,155.460343146454
0.0027,110.233549029413,-257.74653145578,147.489810367518,-11.9009512692936,155.466368645402
0.0028,117.974803027676,-267.165950606757,149.211656290277,-13.7442555258888,155.479489793857
0.0029,125.982598754174,-276.517511248409,150.616194891536,-15.8006112366628,155.469696632146
0.003,133.972005596443,-285.677573449517,151.728505609251,-18.1289596967644,155.446539104824
0.0031,142.276281428695,-294.885290576796,152.513225409843,-20.6139205421093,155.449006611846
0.0032,150.713570772859,-303.773606667681,153.067065378729,-23.4151277047403,155.469398597533
0.0033,159.374921409152,-312.395889112636,153.208000348362,-26.4416686007681,155.469032197045
0.0034,168.175429341336,-321.185367412223,153.067672429059,-29.7764441082491,155.463121994804
0.0035,176.989638009285,-329.604387756149,152.488231997056,-33.340629007106,155.463435472763
0.0036,186.118719793469,-337.778512541311,151.685794181815,-37.2519446764067,155.439515349705
0.0037,195.333165430534,-345.843829337729,150.54515680837,-41.4071501639743,155.408235760958
0.0038,204.620477001936,-353.703187640411,149.024411870509,-45.9864162885032,155.444316744266
0.0039,213.950509704144,-361.379608937762,147.248255640508,-50.8240483998804,155.429725039151
0.004,223.568157700946,-368.692123757707,145.263879767485,-56.0128566654805,155.411869740212
0.0041,233.119525592363,-375.782929289766,142.855646185623,-61.5905862290369,155.443480839308
0.0042,242.847449015369,-382.98520535853,140.038108484029,-67.5739675645353,155.45814640932
0.0043,252.563442384259,-389.577255467041,137.014526320141,-73.9333531263257,155.429375460671
