t,ia,ib,ic,Te,wm
0,0.067683514447373,0,0.0956786574913454,-0.0232115861694536,147.769150955063
0.0001,-0.0319374516662202,0,-0.00603996430627196,0.0294734915753203,147.740888300534
0.0002,-4.11653629415034,-0,4.1114351415716,0.00323013907775319,147.730286211939
0.0003,-8.00047907345823,-0,8.03890967577584,0.00752914473364542,147.724449914397
0.0004,-11.6005615702757,-0,11.5704282824492,0.0117688716738116,147.758718822401
0.0005,-14.9690192557759,-0,14.9702139404314,-0.00504967148965339,147.766059476682
0.0006,-17.9974992011724,-0,18.0233397303778,-0.0117666595784413,147.714547326809
0.0007,-20.9737631654145,-0,20.7895833771899,-0.0167718135217713,147.711695660529
0.0008,-23.32335862721,-0,23.3514629326576,-0.073397319358871,147.769239233239
0.0009,-25.6283557621485,-0,25.5558669130956,-0.109422738418845,147.711381947535
0.001,-27.6115682925244,-0,27.616349296036,-0.196683900977152,147.707182377066
0.0011,-29.3078759220758,-0,29.2649186525353,-0.280877367197757,147.719820264545
0.0012,-30.7014738957123,-0,30.7996231622723,-0.42558981977084,147.718325622793
0.0013,-31.8899827025647,-0,31.9270896270771,-0.586643078045355,147.735097835781
0.0014,-32.7209244734911,-0,32.711451875658,-0.784569854511983,147.716376512884
0.0015,-33.34144246336,-0,33.3793048166213,-1.01076656278049,147.716670879491
0.0016,-33.7565867519095,-0,33.6099257504555,-1.36909603898249,147.712358370774
0.0017,-33.7610753050537,-0,33.5312854588805,-1.77464676567338,147.718911304928
0.0018,-33.3426714291448,-0,33.3041206304764,-2.26151245285174,147.700565059047
0.0019,-32.8017004282729,-0,32.8034611660105,-2.82385749673675,147.721111701829
0.002,-32.0180741217283,-0,32.1319354145992,-3.46061946801961,147.709408834835
0.0021,-30.9703996516117,-0,30.9099107977442,-4.2215305737871,147.68763475862
0.0022,-29.4748688296921,-0,29.6019269209851,-5.12400116619878,147.68010792178
0.0023,-27.9196340306313,-0,27.8829933486348,-6.21243698131,147.714273629577
0.0024,-25.9897045300244,-0,25.9888943628916,-7.33517423352747,147.678104543598
0.0025,-23.8224483607699,-0,23.8619703129617,-8.7094891513882,147.670202670401
0.0026,-21.3859584261712,-0,21.413057880517,-10.1881955991415,147.711539746309
0.0027,-18.5849388547242,-0,18.629972133452,-11.8823312495726,147.710362598356
0.0028,-15.5863210418707,-0,15.6783006121555,-13.7536281086688,147.706926506045
0.0029,-12.3617611713523,-0,12.5196210549244,-15.8638891020809,147.688648861091
0.003,-8.77701983314819,-0,8.92392096648763,-18.1472734538241,147.714499903936
