t,ia,ib,ic,Te,wm
0,0.1010356394151,0.069837834437363,0.0589268027127125,0.0108912934595132,154.733650184887
0.0001,-0.0229516465443099,0.078963893205236,-0.0228713718761591,-0.0146100905249902,154.706426978429
0.0002,-0.42916915757005,-7.35641039389891,7.7930410193577,0.0144354019856197,154.708986937653
0.0003,-0.593279074436057,-14.828130026134,15.3301429570147,-0.021696265548267,154.719101657538
0.0004,-0.376387639362286,-22.4718379912915,22.7596813279551,0.00963861325908498,154.713604252459
0.0005,0.014786352362123,-30.0655315551904,29.9078914741542,-0.015354089043213,154.744951047399
0.0006,0.965735711811877,-37.80156841084,36.9174535645948,0.0285486570451733,154.724249897777
0.0007,2.09631156685195,-45.5847487503438,43.6048875850759,-0.0383109468253869,154.739992278775
0.0008,3.45781792026655,-53.5361227964328,50.1179251341698,-0.0644880962433163,154.737143506083
0.0009,5.21336433648457,-61.5416276298813,56.2826154663652,-0.0792089092838379,154.663429088617
0.001,7.17076092728825,-69.532183428517,62.3693783923842,-0.188650011749611,154.729509099418
0.0011,9.51406873940547,-77.5717551631524,68.1152533703347,-0.230577228650012,154.708598396042
0.0012,12.200627478254,-85.6415621438439,73.6415622347326,-0.384282404141905,154.724451142478
0.0013,14.9950359165963,-93.8759228085597,78.7878802856551,-0.569305321296976,154.701291137928
0.0014,18.0920887115457,-101.898247851457,83.733875689541,-0.812269188492874,154.690197318018
0.0015,21.631386747523,-110.06511021721,88.369639965311,-1.06178911991169,154.69018523896
0.0016,25.4796139863012,-118.2131332284,92.752207685438,-1.33189522667509,154.700573474764
0.0017,29.5288424683528,-126.377056269443,96.8537857249993,-1.7998186462886,154.690167828662
0.0018,33.9079952932949,-134.483816247626,100.636444126162,-2.2600238534556,154.687569425179
0.0019,38.3951897976696,-142.622604939122,104.217164105104,-2.79642789585381,154.708105022129
0.002,43.2851747180215,-150.694972495636,107.307502505342,-3.48560386268905,154.693295877265
0.0021,48.3633203700833,-158.694106491707,110.345603282912,-4.26288662008958,154.658504874142
0.0022,53.7375287050427,-166.724271826346,112.922180239948,-5.12937065507685,154.698460964581
0.0023,59.4439757476541,-174.729273535455,115.338704787793,-6.20116838315508,154.708812784333
0.0024,65.3168930981289,-182.575862548748,117.255921591036,-7.35703170883316,154.699098708113
0.0025,71.3393652499178,-190.372622190896,119.030273294601,-8.66043747055537,154.677134223383
0.0026,77.7236747262491,-198.096460265332,120.414154562052,-10.1998674295299,154.69801763172
0.0027,84.1866566058958,-205.813327857123,121.501467692117,-11.8697664062988,154.703152141336
0.0028,91.0650685327811,-213.341301098489,122.387724212537,-13.7450659165257,154.652418213728
0.0029,98.0709421617127,-220.805144231544,122.84116453668,-15.8370094390778,154.669784242305
0.003,105.156205766006,-228.159541553407,122.976814325009,-18.1436253517712,154.678112984128
0.0031,112.68910820721,-235.442981876316,122.847477728776,-20.6460941927864,154.656982433926
0.0032,120.149732834218,-242.602063416658,122.425829380448,-23.4140920583453,154.685105174999
0.0033,127.864165094693,-249.545199585977,121.709603518986,-26.4509875964766,154.700597657631
0.0034,135.850404876946,-256.38272546526,120.572744500332,-29.7704830372205,154.68780432654
0.0035,143.857097533649,-263.146205545305,119.29183059041,-33.3163105948131,154.664005918934
0.0036,152.096596439537,-269.626289170347,117.669019947062,-37.2833428519873,154.670546542004
